A001;Starý zákon (Genesis, Daniel)
A002;Ovidius: Proměny (vyd. 1998)
A003;Nový zákon (Evangelia podle Lukáše a Jana, List Římanům, První list Korintským, Zjevení sv. Jana)
A004;Píseň o Rolandovi (přel. J. Pelán, vyd. 1987)
A005;Putování za Svatým Grálem (přel. J. Pelán, vyd. 2006)
A006;Život svaté Kateřiny (novočeský překlad J. Pelána, vyd. 1999)
A007;Giovanni Boccaccio: Dekameron (Den první)
A008;Daniel Defoe: Robinson Crusoe (přel. A. Vyskočil a T. Vodička)
A009;Johann Wolfgang Goethe: Utrpení mladého Werthera
A010;Karel IV.: Vita Caroli
A011;Jan Amos Komenský: Labyrint světa a ráj srdce (novočeský překlad T. Makovičky, vyd. 2013)
A012;Choderlos de Laclos: Nebezpečné známosti
A013;Adam Václav Michna z Otradovic: Loutna česká (např. in Básnické dílo, vyd. 1999)
A014;Molière: Don Juan
A015;Francesco Petrarca: Sto sonetů Lauře
A016;François Villon: Básně (vyd. 1995)
A017;William Shakespeare: Hamlet
A018;William Shakespeare: Romeo a Julie
A019;William Shakespeare: Sonety
A020;Sofoklés: Král Oidipús
A021;Voltaire: Candide neboli Optimismus
B022;Jakub Arbes: Svatý Xaverius
B023;Jane Austen: Pýcha a předsudek
B024;Honoré de Balzac: Evženie Grandetová
B025;Charles Baudelaire: Květy zla
B026;Karel Havlíček Borovský: Křest sv. Vladimíra
B027;Anton Pavlovič Čechov: Višňový sad
B028;Fjodor Michajlovič Dostojevskij: Něžná
B029;Karel Jaromír Erben: Kytice
B030;Nikolaj Vasiljevič Gogol: Revizor
B031;Karel Hlaváček: Mstivá kantilena
B032;Victor Hugo: Chrám Matky Boží v Paříži
B033;Henrik Ibsen: Divoká kachna
B034;Alois Jirásek: Skály
B035;Fjodor Michajlovič Dostojevskij: Zločin a trest 
B036;Karel Hynek Mácha: Máj
B037;Karel Hynek Mácha: Marinka
B038;Alois a Vilém Mrštíkové: Maryša
B039;Božena Němcová: Babička
B040;Jan Neruda: Balady a romance
B041;Jan Neruda: Povídky malostranské
B042;Edgar Allan Poe: Jáma a kyvadlo a jiné povídky
B043;Alexandr Sergejevič Puškin: Evžen Oněgin
B044;Mary Shelley: Frankenstein
B045;Lev Nikolajevič Tolstoj: Anna Karenina
B046;Josef Kajetán Tyl: Strakonický dudák
B047;Walt Whitman: Stébla trávy
B048;Oscar Wilde: Jak je důležité míti Filipa
B049;Oscar Wilde: Obraz Doriana Graye
B050;Gustave Flaubert: Paní Bovaryová
B051;Émile Zola: Zabiják
C052;Heinrich Böll: Biliár o půl desáté
C053;Edward Franklin Albee: Kdo se bojí Virginie Woolfové?
C054;Guillaume Apollinaire: Alkoholy (vyd. 2011) 
C055;Samuel Beckett: Čekání na Godota
C056;Jorge Luis Borges: Shakespearova paměť (vyd. 2009)
C057;Michail Bulgakov: Mistr a Markétka
C058;Anthony Burgess: Mechanický pomeranč
C059;Albert Camus: Mor
C060;Friedrich Dürrenmatt: Návštěva staré dámy
C061;Umberto Eco: Jméno růže
C062;Francis Scott Fitzgerald: Velký Gatsby
C063;Max Frisch: Homo faber
C064;Romain Rolland: Petr a Lucie
C065;Joseph Heller: Hlava XXII
C066;Ernest Hemingway: Komu zvoní hrana
C067;Ernest Hemingway: Stařec a moře
C068;Hermann Hesse: Stepní vlk
C069;John Irving: Svět podle Garpa
C070;Jean Paul Sartre: Zeď
C071;Franz Kafka: Proces
C072;Franz Kafka: Proměna
C073;Jack Kerouac: Na cestě
C074;Stieg Larsson: Muži, kteří nenávidí ženy
C075;Gaston Leroux: Fantóm opery
C076;Clive Staples Lewis: Letopisy Narnie – Lev, čarodějnice a skříň
C077;Thomas Mann: Mario a kouzelník
C078;Gabriel García Márquez: Sto roků samoty
C079;Cormac McCarthy: Cesta
C080;Ian McEwan: Betonová zahrada
C081;Ian McEwan: Pokání
C082;Frank Miller: Batman: Návrat temného rytíře
C083;Alberto Moravia: Horalka
C084;Christian Morgenstern: Šibeniční písně
C085;Haruki Murakami: Afterdark
C086;Haruki Murakami: Norské dřevo
C087;Vladimir Nabokov: Lolita
C088;George Orwell: 1984
C089;John Osborne: Ohlédni se v hněvu
C090;Marjane Satrapi: Persepolis
C091;Boris Pasternak: Doktor Živago
C092;Terry Pratchett: Maškaráda
C093;John Steinbeck: O myších a lidech
C094;Erich Maria Remarque: Na západní frontě klid
C095;Philip Roth: Spiknutí proti Americe
C096;Antoine de Saint-Exupéry: Malý princ
C097;Jerome David Salinger: Kdo chytá v žitě
C098;Alexandr Solženicyn: Jeden den Ivana Děnisoviče
C099;Art Spiegelman: Maus
C100;William Styron: Sophiina volba
C101;J. R. R. Tolkien: Hobit
C102;Kurt Vonnegut: Jatka č. 5
C103;Alice Walker: Barva nachu
C104;Tennessee Williams: Tramvaj do stanice Touha
C105;Virginia Woolf: Paní Dallowayová
D106;Michal Ajvaz: Druhé město
D107;Petr Bezruč: Slezské písně
D108;Karel Čapek: R. U. R.
D109;Karel Čapek: Válka s Mloky
D110;Irena Dousková: Oněgin byl Rusák
D111;Jaroslav Durych: Rekviem
D112;Viktor Dyk: Krysař
D113;Milan Kundera: Žert
D114;Ladislav Fuks: Pan Theodor Mundstock
D115;Ladislav Fuks: Spalovač mrtvol
D116;František Gellner: Po nás ať přijde potopa!
D117;František Halas: Torso naděje
D118;Jaroslav Hašek: Osudy dobrého vojáka Švejka za světové války (V zázemí)
D119;Václav Havel: Zahradní slavnost
D120;Vladimír Holan: Noc s Hamletem
D121;Jaroslav Havlíček: Petrolejové lampy
D122;Bohumil Hrabal: Příliš hlučná samota
D123;František Hrubín: Romance pro křídlovku
D124;Ivan Martin Jirous: Magorovy labutí písně
D125;Josef Kainar: Moje blues
D126;Pavel Kohout: Katyně
D127;Karel Kryl: Kníška Karla Kryla
D128;Milan Kundera: Směšné lásky
D129;Arnošt Lustig: Modlitba pro Kateřinu Horovitzovou
D130;Vítězslav Nezval: Žena v množném čísle (in Básně II, vyd. 2012)
D131;Vladimír Páral: Soukromá vichřice
D132;Jaroslav Seifert: Na vlnách TSF
D133;Ladislav Smoljak – Zdeněk Svěrák: Záskok
D134;Josef Škvorecký: Zbabělci
D135;Jáchym Topol: Kloktat dehet
D136;Josef Topol: Konec masopustu
D137;Miloš Urban: Sedmikostelí
D138;Jaroslav Seifert: Morový sloup
D139;Vladislav Vančura: Markéta Lazarová
D140;Vladislav Vančura: Rozmarné léto
D141;Jiří Voskovec – Jan Werich: Osel a stín
D142;Jiří Weil: Život s hvězdou
D143;Ota Pavel: Smrt krásných srnců
D144;Jan Zahradníček: Znamení moci
D145;Jiří Hájíček: Selský baroko
D146;Petra Hůlová: Paměť mojí babičce
D147;Jaroslav Rudiš: Konec punku v Helsinkách
D148;Jan Skácel: Smuténka
